decile,lower,upper,n,n_yes,implied_prob,actual_rate,flb_gap,wilson_lower,wilson_upper,recommended_side
0,0.0,0.1,12,0,0.002583,0.000000,0.002583,0.000000,0.242501,no_edge
1,0.1,0.2,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,no_edge
2,0.2,0.3,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,no_edge
3,0.3,0.4,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,no_edge
4,0.4,0.5,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,no_edge
5,0.5,0.6,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,no_edge
6,0.6,0.7,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,no_edge
7,0.7,0.8,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,no_edge
8,0.8,0.9,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,no_edge
9,0.9,1.0,1,1,0.999000,1.000000,-0.001000,0.206543,1.000000,no_edge
